,U239,Np239,Pu239,Pu240,Pu241,Pu242
A_2537,2.59814e-06,0.000376251,0.00393166,0.000123131,4.29995e-06,6.19497e-08
A_2538,4.1823e-06,0.000605269,0.00487919,0.00020416,8.84506e-06,1.60481e-07
A_2539,4.91445e-06,0.000711787,0.00527665,0.000240022,1.14632e-05,2.32549e-07
A_2540,3.45649e-06,0.000500461,0.00449337,0.000179079,7.06769e-06,1.15846e-07
A_2541,3.01728e-06,0.000436586,0.00364234,0.000117085,3.74217e-06,4.88553e-08
A_2542,4.47454e-06,0.000647795,0.00446655,0.000177379,7.2763e-06,1.25523e-07
A_2543,3.80602e-06,0.000550945,0.00519724,0.000238999,1.10548e-05,2.14917e-07
A_2544,2.2291e-06,0.000322542,0.00427184,0.000146485,5.47013e-06,8.42881e-08
A_2545,2.55238e-06,0.00036981,0.00390071,0.000126594,4.28539e-06,6.01562e-08
A_2546,4.02843e-06,0.000583094,0.0047014,0.000200699,8.5425e-06,1.52364e-07
A_2547,4.90808e-06,0.000710582,0.00529482,0.000223972,1.0484e-05,2.06321e-07
A_2548,3.30383e-06,0.000478161,0.00431822,0.000161774,6.19377e-06,9.87018e-08
A_2549,2.86904e-06,0.000415238,0.00401714,0.000142828,5.12667e-06,7.64853e-08
A_2550,4.44997e-06,0.000644563,0.00497451,0.00021265,9.58001e-06,1.81535e-07
A_2551,3.66616e-06,0.000530384,0.00552824,0.000289376,1.43991e-05,3.0484e-07
A_2552,2.15646e-06,0.000312114,0.0047511,0.000185028,7.58654e-06,1.28904e-07
A_2553,4.37144e-06,0.000632756,0.00416384,0.000153782,5.62517e-06,8.51706e-08
A_2554,2.70928e-06,0.000392098,0.00528078,0.000238631,1.11659e-05,2.21033e-07
A_2555,3.52788e-06,0.000510798,0.00474131,0.000198588,8.34776e-06,1.46777e-07
A_2556,5.04485e-06,0.00072997,0.00342082,0.000101133,3.20856e-06,4.23481e-08
A_2557,4.64982e-06,0.000673645,0.00430617,0.000149819,5.85227e-06,9.56484e-08
A_2558,3.11929e-06,0.000451411,0.00555224,0.000259017,1.25666e-05,2.56852e-07
A_2559,2.30828e-06,0.000333927,0.00502778,0.000210465,9.36625e-06,1.74988e-07
A_2560,3.91508e-06,0.000567386,0.00386856,0.000134994,4.66765e-06,6.70504e-08
A_2561,4.36665e-06,0.000631834,0.00544732,0.000266877,1.30265e-05,2.69284e-07
A_2562,2.74037e-06,0.000396533,0.00443743,0.000171888,6.93281e-06,1.17478e-07
A_2563,2.07127e-06,0.000299738,0.00417029,0.000145423,5.2239e-06,7.75776e-08
A_2564,3.55392e-06,0.000514412,0.00498252,0.000197456,8.75812e-06,1.62995e-07
A_2565,3.9374e-06,0.000569821,0.00518181,0.000231024,1.08538e-05,2.16722e-07
A_2566,2.44219e-06,0.000353549,0.00436516,0.000162893,6.19296e-06,9.72772e-08
A_2567,3.2106e-06,0.000464982,0.00372026,0.000116048,3.79792e-06,5.13393e-08
A_2568,4.81567e-06,0.000697406,0.00466865,0.000202362,8.51813e-06,1.49045e-07
A_2569,3.03831e-06,0.000439751,0.00526007,0.000236693,1.09465e-05,2.12811e-07
A_2570,4.55334e-06,0.000659515,0.00394714,0.0001492,5.34403e-06,7.94348e-08
A_2571,3.79459e-06,0.00054936,0.00461748,0.000178252,7.32854e-06,1.25612e-07
A_2572,2.19393e-06,0.000317445,0.00565571,0.000293995,1.50451e-05,3.29623e-07
A_2573,2.62145e-06,0.000379323,0.00498891,0.000211285,9.25889e-06,1.68949e-07
A_2574,4.25897e-06,0.000617283,0.00382447,0.000119443,4.03622e-06,5.65695e-08
A_2575,4.93711e-06,0.000714563,0.00416886,0.000164795,6.34185e-06,1.02236e-07
A_2576,3.39601e-06,0.000491533,0.00543367,0.000248864,1.19671e-05,2.42394e-07
A_2577,3.4398e-06,0.000498101,0.00439152,0.000167447,6.51191e-06,1.04685e-07
A_2578,5.10034e-06,0.000738781,0.0054156,0.000245819,1.17747e-05,2.38716e-07
A_2579,4.18803e-06,0.000606283,0.00480352,0.000205418,8.95478e-06,1.6446e-07
A_2580,2.69915e-06,0.000390975,0.00400897,0.000117963,4.10352e-06,5.86435e-08
A_2581,2.31913e-06,0.000335755,0.00433103,0.000149291,5.59901e-06,8.65835e-08
A_2582,3.81114e-06,0.000551489,0.0051247,0.000229028,1.04624e-05,2.0132e-07
A_2583,4.62863e-06,0.000670256,0.00456284,0.000178978,7.30807e-06,1.25439e-07
A_2584,3.04857e-06,0.000441604,0.00360061,0.000119403,3.84464e-06,5.13869e-08
A_2585,4.78606e-06,0.000693186,0.00381465,0.000131815,4.64732e-06,6.83096e-08
A_2586,3.27165e-06,0.000473418,0.00510202,0.000237581,1.06662e-05,2.02306e-07
A_2587,2.46159e-06,0.000356084,0.00564888,0.00026076,1.29965e-05,2.73662e-07
A_2588,4.11217e-06,0.000595416,0.00456839,0.000183157,7.35204e-06,1.23743e-07
A_2589,3.66212e-06,0.000530733,0.00371796,0.000119144,3.93158e-06,5.36391e-08
A_2590,2.06046e-06,0.000298105,0.00487077,0.00019399,8.4064e-06,1.53663e-07
A_2591,2.88543e-06,0.000417528,0.00541491,0.000260082,1.23654e-05,2.48398e-07
A_2592,4.40482e-06,0.000637573,0.00414867,0.000145929,5.44744e-06,8.4669e-08
A_2593,3.90544e-06,0.000565537,0.00479194,0.000196994,8.49266e-06,1.53313e-07
A_2594,2.4188e-06,0.000350351,0.00396965,0.000133838,4.55617e-06,6.36455e-08
A_2595,3.10388e-06,0.000449316,0.00430248,0.000150523,5.79562e-06,9.2587e-08
A_2596,4.71213e-06,0.000682335,0.00525897,0.00024781,1.17618e-05,2.36993e-07
A_2597,5.18011e-06,0.000750342,0.0050403,0.000222263,9.96457e-06,1.87295e-07
A_2598,3.55942e-06,0.000515451,0.00407702,0.000138985,5.03532e-06,7.5744e-08
A_2599,2.78888e-06,0.000403894,0.00469607,0.000205296,8.48555e-06,1.46694e-07
A_2600,4.26968e-06,0.00061787,0.00548828,0.000264485,1.31046e-05,2.76343e-07
A_2601,2.13659e-06,0.000309116,0.00523539,0.000253346,1.19604e-05,2.38542e-07
A_2602,3.76308e-06,0.000545157,0.00419865,0.000152983,5.7425e-06,8.96733e-08
A_2603,4.51012e-06,0.000653072,0.00351121,0.000112441,3.61851e-06,4.83045e-08
A_2604,2.9848e-06,0.000431963,0.0048406,0.000187293,7.92327e-06,1.39194e-07
A_2605,3.34959e-06,0.000484879,0.00555026,0.000247824,1.22319e-05,2.55435e-07
A_2606,4.86483e-06,0.000703964,0.00426484,0.000162045,6.30707e-06,1.03e-07
A_2607,4.18177e-06,0.000606091,0.00390903,0.000125948,4.34497e-06,6.19118e-08
A_2608,2.56786e-06,0.000371578,0.00506558,0.000227739,1.02244e-05,1.91951e-07
A_2609,4.07147e-06,0.0005896,0.00506927,0.000232135,1.05093e-05,1.98902e-07
A_2610,2.50128e-06,0.000362031,0.00414496,0.000146457,5.38679e-06,8.19294e-08
A_2611,3.28681e-06,0.000475831,0.00461593,0.000186527,7.66237e-06,1.30829e-07
A_2612,4.70534e-06,0.000680783,0.00535048,0.000243192,1.19744e-05,2.51003e-07
A_2613,4.41701e-06,0.000639832,0.00472241,0.000192658,8.24864e-06,1.4842e-07
A_2614,2.94115e-06,0.00042609,0.00390334,0.000130008,4.39391e-06,6.0976e-08
A_2615,2.09394e-06,0.000303013,0.00441246,0.00016295,6.30837e-06,1.01163e-07
