,4
A_0922,32.8104
A_0923,23.5114
A_0924,47.1645
A_0925,48.7002
A_0926,26.4639
A_0927,27.712
A_0928,57.7279
A_0929,36.4557
A_0930,31.4342
A_0931,33.4929
A_0932,41.0858
A_0933,51.0864
A_0934,38.785
A_0935,29.075
A_0936,33.552
A_0937,23.9564
A_0938,44.3816
A_0939,63.8669
A_0940,32.2436
A_0941,29.3548
A_0942,64.5564
A_0943,52.8437
A_0944,27.743
A_0945,41.8823
A_0946,34.2182
A_0947,37.2367
A_0948,49.9559
A_0949,51.5202
A_0950,39.4212
A_0951,29.8531
A_0952,34.5335
A_0953,23.5554
A_0954,45.551
A_0955,67.6939
A_0956,32.3361
A_0957,27.5437
A_0958,55.0227
A_0959,47.1707
A_0960,26.376
A_0961,36.1547
A_0962,45.8416
A_0963,39.881
A_0964,33.6048
A_0965,31.3431
A_0966,37.2582
A_0967,57.4524
A_0968,41.9614
A_0969,57.9853
A_0970,30.0605
A_0971,22.4587
A_0972,40.9779
A_0973,48.4409
A_0974,25.9473
A_0975,27.1168
A_0976,57.6589
A_0977,47.3809
A_0978,36.7431
A_0979,34.0197
A_0980,40.7797
A_0981,29.9382
A_0982,26.9483
A_0983,35.2609
A_0984,43.6279
A_0985,33.5143
A_0986,70.4479
A_0987,47.2435
A_0988,24.4408
A_0989,24.0938
A_0990,44.1461
A_0991,51.2524
A_0992,24.8522
A_0993,30.1476
A_0994,34.6348
A_0995,38.7891
A_0996,31.985
A_0997,41.1416
A_0998,55.1294
A_0999,36.4538
A_1000,30.99
A_1001,42.5121
A_1002,22.5812
A_1003,30.6567
A_1004,61.6123
A_1005,69.1157
A_1006,31.7731
A_1007,29.7337
A_1008,56.0976
A_1009,44.9148
A_1010,23.9303
A_1011,32.3997
A_1012,65.2838
A_1013,66.2671
A_1014,29.4553
A_1015,27.7927
A_1016,53.7181
A_1017,33.0989
A_1018,39.0033
A_1019,44.5325
A_1020,35.5081
A_1021,41.1298
A_1022,55.5189
A_1023,36.3367
A_1024,30.8333
A_1025,33.366
A_1026,71.3229
A_1027,47.3658
A_1028,24.1839
A_1029,27.0211
A_1030,48.8308
A_1031,57.5359
A_1032,28.3428
A_1033,44.2711
A_1034,34.6814
A_1035,32.2595
A_1036,38.2958
A_1037,31.9065
A_1038,28.2775
A_1039,36.9575
A_1040,46.479
A_1041,55.6791
A_1042,28.7682
A_1043,21.4064
A_1044,39.314
A_1045,51.3538
A_1046,28.0524
A_1047,29.6238
A_1048,61.3888
A_1049,32.8974
A_1050,40.5417
A_1051,35.8458
A_1052,30.8741
A_1053,31.7997
A_1054,37.8907
A_1055,58.0306
A_1056,42.4265
A_1057,24.0531
A_1058,46.0828
A_1059,68.1146
A_1060,32.8647
A_1061,24.4216
A_1062,49.8095
A_1063,43.1844
A_1064,23.7413
A_1065,45.1549
A_1066,36.4045
A_1067,39.8585
A_1068,54.304
A_1069,49.0255
A_1070,37.967
A_1071,28.6914
A_1072,32.782
A_1073,21.4544
A_1074,40.273
A_1075,57.9708
A_1076,29.1231
A_1077,30.0529
A_1078,64.5047
A_1079,53.1098
A_1080,28.3507
A_1081,34.8886
A_1082,30.4146
A_1083,32.2561
A_1084,38.9613
A_1085,54.6412
A_1086,41.2031
A_1087,31.2606
A_1088,36.6799
A_1089,75.4959
A_1090,35.5452
A_1091,25.9364
A_1092,50.237
A_1093,46.7052
A_1094,25.4638
A_1095,26.4985
A_1096,54.8453
A_1097,36.7604
A_1098,47.821
A_1099,40.9187
A_1100,33.9812
A_1101,26.7859
