Energy,Step0,Step1,Step2,Step3,Step4,Step5,Step6
0.965,20815916889.868763,20885107407.233974,20937042178.137646,21042963981.05328,21051340557.005486,21053895412.670906,21037016612.127213
1.055,18835149857.3306,18952254389.14243,19015413771.822052,19095828900.963223,19088918225.802654,19180809263.99834,19044941202.053577
1.15,19224283693.190285,19293432327.67574,19202923424.51216,19225959008.380726,19194672497.19924,19244973835.792233,19336152865.031982
1.225,8873641969.208868,8901326552.730906,8969260583.703287,8948821738.379908,8989029302.95049,8866647528.288776,8972946277.12226
1.2835,11256191467.294542,11334931281.24527,11366804152.74341,11506316025.227385,11386572871.990614,11331119939.187016,11423974283.617208
1.3364999999999998,6267186595.9207535,6355475706.456994,6294201053.366614,6399620261.725115,6372689570.038775,6320126555.938689,6399536495.965592
1.378,6884749657.997068,6896895693.127766,6830385680.067258,6955866787.831289,6950003184.664745,6927679609.752119,6912853070.316716
1.45,14951685480.128832,15083365254.097494,15079344497.640436,15051031670.921984,15159592095.26256,15013881556.573954,15203275938.85331
1.675,43246167497.246475,43270878396.30548,43729077100.8911,43583324679.32273,43891163845.56626,43849699794.602844,44154607159.26311
2.102,44840229900.95109,45173617623.848854,45099903755.469444,45385126166.64203,45444599855.90269,45202935639.68157,45573599125.56664
2.4165,8760348779.455296,8775719796.32759,8782504822.848877,8905389192.067724,8804870280.641264,8862710537.59124,8907106390.137926
2.7395,25471910984.26264,25700340210.47927,25662101141.257454,25746327612.45688,25865610054.016277,25935889526.255276,25998881377.41586
3.652,29508038458.193348,29556078121.279243,29522320520.191856,29541670410.64145,29722855748.487644,29880000313.35101,29973817964.01571
4.552,6381191794.630263,6573978690.170262,6548053187.598187,6583318572.356971,6666749268.840933,6498966452.518266,6599694778.343532
5.617,10618985334.610306,10705264066.918018,10730896389.331764,10672009060.387764,10812609887.745525,10752759252.56702,10756486828.865751
7.3105,3304236714.9707212,3358483420.837201,3445444844.085017,3449687579.804809,3393346729.9502783,3394418931.6721606,3403964039.969698
9.0935,844920086.5710639,815602070.7383463,818337022.7867413,801148288.9328166,836413673.6915997,807757407.3591063,810835799.0215417
11.42,248742841.72952574,242793378.6594721,259177542.39318752,267309103.49879056,263984021.67456278,260275292.671724,270138292.0266478
13.34,12055107.398736097,12187164.118622608,11386028.39455372,16398864.624511532,16397189.30932109,16943844.65596199,19694963.495944686
14.195000000000002,8831088.963371666,6030673.973910244,5678648.369518829,4895522.283747181,2033748.8754358573,6477229.237922294,4003157.2709828275
15.115,3815702.066036408,5647738.804255192,4588018.180541734,7615019.549510302,2665413.9031277094,5692009.008162595,5368463.762008676
16.505,1117552.5040874807,1409023.8409204066,2910633.9758405355,1484928.1839113126,740824.3772130121,1117422.6671602216,2950309.627838155
18.665,1119093.7940626864,732916.8895141305,749527.6396273532,376411.9111322729,738813.998984483,736129.3063918012,729729.6023643166
