Energy,Step0,Step1,Step2,Step3,Step4,Step5,Step6
3.125e-07,29734834252.099297,29876900980.248695,29676156337.5541,29433445049.338963,29062278968.896755,28769559522.246952,28429638070.106472
3.375e-07,23184728803.39282,23176729173.358463,22972424485.884186,22968738792.465214,22693819569.713844,22351845856.465076,22227998181.011723
3.625e-07,18390144259.86971,18359067163.08703,18377579395.941402,18277646844.831596,18115225037.11834,18065970770.519375,17902250593.533527
3.875e-07,15097186604.418633,15008478665.084782,15026823366.42011,15058821886.557533,14922786293.093723,14833491993.443218,14815231057.867413
4.25e-07,23529592435.3451,23489133573.49595,23409723633.469048,23594510898.97469,23417430083.345078,23293163579.094112,23193021613.585503
4.75e-07,18072420734.002575,18199786571.35585,18292389618.507477,18191996355.7203,18097047867.302055,18120083451.17062,17912511899.074978
5.25e-07,14824445291.414837,14979411946.53063,14959098749.846533,14913111347.868927,15041943086.01384,14987495342.324509,14914325951.381996
5.749999999999999e-07,12737630807.321762,12904827263.327774,12907172704.59439,12882713102.813951,12808203459.719088,12880116364.268768,12853562618.500278
6.125e-07,5847478257.835521,5899036082.821342,5850828888.216403,5889235488.957263,5885507912.658531,5819291079.7563505,5869424886.830297
6.375e-07,5513713589.019912,5575825899.705512,5603259185.948983,5537251767.445607,5591615745.375418,5537293650.325369,5521545687.535223
6.75e-07,10219673958.968693,10255316289.645325,10210166545.26294,10321868185.585594,10299879673.711056,10288445647.536297,10236804056.790953
7.25e-07,9286523397.893053,9310229107.837793,9404968181.857233,9396926668.943115,9328992637.970734,9389136453.307566,9336992268.005089
7.75e-07,8542976633.495575,8588796503.954136,8646552995.14459,8685169010.284254,8659285390.591942,8613884348.93099,8624355068.871246
8.25e-07,7935465462.561905,7961977325.450634,7944972876.267658,8050936562.063051,7936009939.998798,8001179700.906954,8002017358.502174
8.75e-07,7333566597.516213,7471654452.088313,7487444297.75822,7438190031.159254,7445561417.997194,7437436139.323556,7420682987.419146
9.125e-07,3501953225.4585924,3521089513.2214046,3520339809.673682,3598551899.339421,3487097368.0073566,3542169166.605129,3509056561.866062
